Diet	High	Low	High	Low	High	Low	High	Low	High	Low	High	Low
d__Viruses|o__Caudovirales|f__Herelleviridae|g__Wphvirus|s__Bacillus virus BPS10C	0	1	0	0	0	0	0	0	0	1	0	0
d__Viruses|o__Caudovirales|f__Herelleviridae|g__Wphvirus|s__Bacillus virus Megatron	0	3	0	0	0	0	2	0	0	3	0	1
d__Viruses|o__Caudovirales|f__Herelleviridae|g__Wphvirus|s__Bacillus virus WPh	0	1	0	44	1	0	2	2	0	0	0	0
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus phage Eldridge	0	0	0	5	0	0	3	1	1	2	4	4
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus phage SP-10	0	3	0	13	1	2	1	4	0	2	2	2
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus virus Mater	1	4	0	0	1	10	4	2	0	4	2	1
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus virus Moonbeam	1	6	2	1	0	0	4	2	2	0	3	1
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus virus SIOphi	1	0	1	1	1	1	3	1	0	1	2	5
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Bacillus virus Shbh1	0	1	0	0	0	0	2	3	0	0	1	1
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Brochothrix virus A9	0	2	0	2	2	3	2	0	1	2	3	2
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Enterococcus virus EFDG1	0	4	0	0	1	3	3	2	1	5	1	1
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Lactobacillus phage LfeInf	0	4	0	0	0	0	0	0	0	1	1	1
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Lactobacillus virus LP65	1	6	0	1	2	0	0	0	1	5	1	4
d__Viruses|o__Caudovirales|f__Herelleviridae|s__Lactobacillus virus Lb338-1	0	1	0	0	0	0	2	0	1	0	2	1
d__Viruses|o__Caudovirales|f__Myoviridae	262	1041	205	600	812	389	849	479	554	966	978	741
d__Viruses|o__Caudovirales|f__Myoviridae|g__Abouovirus	0	0	0	1	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Agricanvirus	0	4	3	6	2	2	7	0	0	6	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Agricanvirus|s__Erwinia virus Ea35-70	0	0	1	0	2	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Agricanvirus|s__Erwinia virus RAY	0	0	0	0	0	1	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Agricanvirus|s__Erwinia virus Simmy50	0	0	1	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Alcyoneusvirus	0	20	0	23	2	5	12	4	1	19	13	9
d__Viruses|o__Caudovirales|f__Myoviridae|g__Alcyoneusvirus|s__Klebsiella virus K64-1	0	4	0	3	1	0	3	0	0	7	3	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Alcyoneusvirus|s__Klebsiella virus RaK2	0	5	0	20	1	4	8	2	1	7	6	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Aphroditevirus	0	1	0	2	0	4	4	0	1	1	2	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Aphroditevirus|s__Vibrio virus Aphrodite1	0	1	0	2	0	4	4	0	1	1	2	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Asteriusvirus	3	23	2	2	12	0	25	5	4	32	23	22
d__Viruses|o__Caudovirales|f__Myoviridae|g__Asteriusvirus|s__Escherichia virus 121Q	2	6	0	0	2	0	7	1	1	4	4	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Asteriusvirus|s__Escherichia virus PBECO4	0	5	0	2	1	0	1	3	1	9	6	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Avunavirus	0	5	1	0	1	0	1	0	0	3	1	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Avunavirus|s__Escherichia virus Av05	0	5	1	0	1	0	1	0	0	3	1	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Bendigovirus	0	0	0	1	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Bendigovirus|s__Gordonia virus GMA6	0	0	0	1	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Biquartavirus	0	4	0	0	1	0	1	0	1	3	1	4
d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus	0	2	2	2	7	6	3	3	2	3	5	4
d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus|s__Mycobacterium phage Tonenili	0	0	0	1	0	4	0	3	0	0	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus|s__Mycobacterium virus Bxz1	0	2	2	0	4	0	2	0	1	3	3	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Busanvirus	0	2	0	6	0	0	1	0	1	2	0	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Busanvirus|s__Acidovorax virus ACP17	0	2	0	6	0	0	1	0	1	2	0	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus	2	10	1	3	3	1	1	0	2	5	6	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus|s__Cronobacter virus CR3	0	1	0	0	1	0	0	0	0	2	2	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus|s__Cronobacter virus CR8	0	1	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus|s__Cronobacter virus CR9	2	4	1	0	0	0	1	0	1	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus|s__Cronobacter virus PBES02	0	0	0	0	1	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Certrevirus|s__Pectobacterium virus phiTE	0	1	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Chakrabartyvirus	0	0	0	5	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Chakrabartyvirus|s__Pseudomonas virus pf16	0	0	0	5	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Chiangmaivirus	1	8	0	5	67	9	19	14	51	2	37	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Chiangmaivirus|s__Ralstonia virus RSF1	1	5	0	0	5	1	0	1	0	1	1	4
d__Viruses|o__Caudovirales|f__Myoviridae|g__Chiangmaivirus|s__Ralstonia virus RSL2	0	3	0	5	62	8	19	13	51	1	36	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus	2	3	1	1	7	1	8	1	0	5	6	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus IME08	0	1	0	0	1	0	1	0	0	1	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus JS10	0	0	0	0	0	0	1	0	0	2	0	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus MX01	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus QL01	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus VR5	1	1	0	1	0	1	3	1	0	1	3	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Dhakavirus|s__Escherichia virus WG01	1	0	1	0	1	0	0	0	0	1	2	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Elvirus	0	1	0	1	1	1	3	1	0	2	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Elvirus|s__Pseudomonas virus EL	0	1	0	1	1	1	3	1	0	2	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Emdodecavirus	1	5	0	1	3	2	1	2	2	3	0	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Emdodecavirus|s__Sinorhizobium virus N3	1	3	0	1	0	2	0	0	1	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus	5	38	2	23	18	7	32	9	21	28	39	24
d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus|s__Cronobacter phage vB_CsaM_GAP32	2	11	2	2	4	0	4	0	4	6	10	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus|s__Pectobacterium phage CBB	2	1	0	1	4	2	3	0	12	3	4	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus|s__Serratia virus BF	1	14	0	1	2	1	6	2	2	6	11	10
d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus|s__Yersinia virus Yen9-04	0	12	0	17	8	4	19	7	3	13	14	12
d__Viruses|o__Caudovirales|f__Myoviridae|g__Erskinevirus	0	3	0	0	2	1	1	0	0	0	1	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Erskinevirus|s__Erwinia virus Asesino	0	0	0	0	0	1	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Erskinevirus|s__Erwinia virus EaH2	0	3	0	0	2	0	1	0	0	0	1	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus	0	13	2	1	17	0	12	0	7	10	8	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Escherichia virus AYO145A	0	0	0	0	14	0	2	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Escherichia virus EC6	0	0	1	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Escherichia virus HY02	0	1	1	0	0	0	1	0	0	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Escherichia virus VpaE1	0	0	0	0	0	0	0	0	1	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Salmonella virus BPS17W1	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Salmonella virus FelixO1	0	0	0	0	0	0	0	0	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Felixounavirus|s__Salmonella virus Mushroom	0	0	0	0	0	0	1	0	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ficleduovirus	0	0	1	8	1	2	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ficleduovirus|s__Flavobacterium virus FCV1	0	0	0	8	1	2	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Firehammervirus	3	29	4	4	6	0	18	3	16	19	27	20
d__Viruses|o__Caudovirales|f__Myoviridae|g__Firehammervirus|s__Campylobacter virus CP21	0	4	1	0	0	0	5	1	1	3	8	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Firehammervirus|s__Campylobacter virus CP220	3	11	2	1	2	0	7	0	5	5	14	12
d__Viruses|o__Caudovirales|f__Myoviridae|g__Firehammervirus|s__Campylobacter virus CPt10	0	5	1	0	2	0	0	1	4	4	2	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Flaumdravirus	0	0	0	0	0	0	0	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Fletchervirus	5	16	0	6	2	3	13	16	4	22	24	12
d__Viruses|o__Caudovirales|f__Myoviridae|g__Fletchervirus|s__Campylobacter virus CP30A	0	2	0	0	0	3	1	12	0	2	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Fletchervirus|s__Campylobacter virus CP81	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Fletchervirus|s__Campylobacter virus Los1	0	0	0	0	0	0	0	0	0	1	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gaprivervirus	0	10	0	0	5	1	3	1	5	2	8	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gaprivervirus|s__Escherichia virus VR20	0	4	0	0	4	0	1	0	3	1	3	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gaprivervirus|s__Escherichia virus VR25	0	1	0	0	1	0	0	0	1	1	2	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gaprivervirus|s__Escherichia virus VR7	0	5	0	0	0	0	2	0	1	0	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus	3	9	1	1	4	1	9	4	3	18	11	11
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus|s__Salmonella phage vB_SnwM_CGG4-1	0	0	0	1	1	0	0	1	1	4	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus|s__Salmonella virus Melville	0	1	0	0	2	0	2	0	0	1	6	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus|s__Salmonella virus S16	0	0	1	0	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus|s__Salmonella virus STML198	0	0	0	0	0	0	0	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Gelderlandvirus|s__Salmonella virus STP4a	0	1	0	0	0	0	1	0	0	1	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hapunavirus	0	3	0	39	0	0	1	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hapunavirus|s__Halomonas virus HAP1	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hapunavirus|s__Vibrio virus VP882	0	3	0	39	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hpunavirus	0	1	0	2	0	16	0	75	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hpunavirus|s__Aeromonas virus phiO18P	0	1	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hpunavirus|s__Haemophilus virus HP1	0	0	0	2	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Hpunavirus|s__Vibrio phage PV94	0	0	0	0	0	16	0	75	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Iapetusvirus	1	3	1	2	0	0	4	2	2	2	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Iapetusvirus|s__Erwinia virus EaH1	1	3	1	2	0	0	4	2	2	2	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ionavirus	0	3	2	1	1	0	4	2	2	2	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ionavirus|s__Delftia virus PhiW14	0	3	2	1	1	0	4	2	2	2	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jedunavirus	0	0	0	0	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jedunavirus|s__Klebsiella virus KpV80	0	0	0	0	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jiaodavirus	2	10	1	9	2	0	6	2	1	9	3	7
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jiaodavirus|s__Klebsiella phage vB_KpnM_KpV477	0	4	0	0	0	0	1	0	0	3	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jiaodavirus|s__Klebsiella virus JD18	1	1	1	0	1	0	2	0	1	3	1	4
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jiaodavirus|s__Klebsiella virus PKO111	0	4	0	9	0	0	2	2	0	2	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jilinvirus	2	4	0	1	2	1	1	3	0	1	2	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jilinvirus|s__Enterobacter phage Arya	0	1	0	0	0	0	1	2	0	0	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jilinvirus|s__Escherichia virus CVM10	1	3	0	1	0	0	0	0	0	1	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Jilinvirus|s__Pseudomonas phage PPpW-3	1	0	0	0	2	0	0	1	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Karamvirus	1	4	1	1	4	0	7	1	0	6	6	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Karamvirus|s__Enterobacter virus PG7	1	3	1	0	2	0	6	1	0	4	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Karamvirus|s__Escherichia virus CC31	0	1	0	1	2	0	1	0	0	2	5	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Kleczkowskavirus	0	0	0	0	1	0	0	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Kolesnikvirus	0	0	1	0	2	0	0	2	0	2	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Kolesnikvirus|s__Erwinia virus Ea214	0	0	1	0	2	0	0	2	0	2	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Krischvirus	0	1	0	0	1	0	0	0	2	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Krischvirus|s__Escherichia virus GEC3S	0	1	0	0	0	0	0	0	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Machinavirus	0	3	1	12	0	4	3	9	0	4	2	4
d__Viruses|o__Caudovirales|f__Myoviridae|g__Machinavirus|s__Erwinia phage vB_EamM_Caitlin	0	1	0	0	0	0	3	1	0	3	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Machinavirus|s__Erwinia phage vB_EamM_ChrisDB	0	0	0	0	0	1	0	0	0	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Machinavirus|s__Erwinia phage vB_EamM_Huxley	0	0	0	0	0	1	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Marthavirus	0	1	0	28	1	4	1	8	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Marthavirus|s__Arthrobacter virus Jawnski	0	0	0	0	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Marthavirus|s__Arthrobacter virus Sonny	0	0	0	28	1	4	1	7	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Metrivirus	5	13	3	4	7	1	11	3	5	11	12	8
d__Viruses|o__Caudovirales|f__Myoviridae|g__Metrivirus|s__Acinetobacter virus ME3	5	13	3	4	7	1	11	3	5	11	12	8
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mieseafarmvirus	0	4	0	0	3	0	0	0	0	3	3	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mieseafarmvirus|s__Ralstonia virus RSL1	0	4	0	0	3	0	0	0	0	3	3	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mooglevirus	1	10	0	1	1	0	5	1	0	5	3	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mooglevirus|s__Citrobacter virus Moogle	0	0	0	1	0	0	0	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mooglevirus|s__Shigella virus Sf14	0	4	0	0	1	0	2	0	0	1	0	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mooglevirus|s__Shigella virus Sf17	0	2	0	0	0	0	1	1	0	1	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Moonvirus	0	6	0	0	3	1	3	0	1	5	6	7
d__Viruses|o__Caudovirales|f__Myoviridae|g__Moonvirus|s__Citrobacter virus Merlin	0	0	0	0	0	0	0	0	1	1	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Moonvirus|s__Citrobacter virus Moon	0	0	0	0	2	0	0	0	0	1	0	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus	3	26	5	5	10	4	6	5	12	23	15	16
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus HP3	0	1	0	0	0	0	0	0	0	0	2	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus HX01	0	3	0	0	1	0	1	2	1	1	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus JS09	1	10	4	0	6	1	2	1	1	8	4	7
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus O157tp3	0	1	1	0	0	0	1	0	0	3	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus RB69	0	0	0	2	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Escherichia virus ST0	0	4	0	1	0	0	1	1	1	7	3	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Shigella virus SHSML521	0	2	0	0	0	0	0	0	0	2	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Mosigvirus|s__Shigella virus UTAM	0	2	0	0	0	0	0	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Nankokuvirus	3	0	0	1	0	0	1	1	3	1	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Nankokuvirus|s__Pseudomonas virus Ab03	0	0	0	0	0	0	1	0	0	0	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Nankokuvirus|s__Pseudomonas virus G1	1	0	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Nazgulvirus	8	1	4	6	1	5	4	1	8	1	3	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Nazgulvirus|s__Burkholderia virus BcepNazgul	8	1	4	6	1	5	4	1	8	1	3	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Noxifervirus	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Noxifervirus|s__Pseudomonas virus Noxifer	0	0	0	0	0	0	1	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Obolenskvirus	3	13	0	0	5	0	9	0	1	6	16	7
d__Viruses|o__Caudovirales|f__Myoviridae|g__Obolenskvirus|s__Acinetobacter virus AB1	0	2	0	0	1	0	2	0	0	4	4	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Obolenskvirus|s__Acinetobacter virus AbP2	1	3	0	0	1	0	1	0	0	0	5	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Otagovirus	0	0	0	0	0	0	1	0	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Otagovirus|s__Pseudomonas virus VCM	0	0	0	0	0	0	1	0	1	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pakpunavirus	3	3	0	5	1	1	4	1	0	6	6	7
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pakpunavirus|s__Pseudomonas phage PaoP5	0	0	0	0	0	0	0	0	0	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pakpunavirus|s__Pseudomonas virus PAKP1	0	0	0	5	0	1	1	0	0	1	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pbunavirus	54	11	38	26	18	28	10	13	29	10	15	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pbunavirus|s__Pseudomonas virus DL60	0	4	1	0	1	0	1	0	0	4	0	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Pbunavirus|s__Pseudomonas virus E215	54	5	37	25	17	28	7	13	29	1	12	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Peduovirus	7	0	4	3	1	2	1	2	2	0	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Peduovirus|s__Burkholderia phage KL3	0	0	0	0	0	0	0	1	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Peduovirus|s__Burkholderia phage KS14	7	0	4	3	1	2	1	1	2	0	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Phikzvirus	4	11	1	2	6	1	10	1	4	11	12	9
d__Viruses|o__Caudovirales|f__Myoviridae|g__Phikzvirus|s__Pseudomonas phage PhiPA3	3	1	1	1	2	1	1	1	2	6	3	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Phikzvirus|s__Pseudomonas virus PA7	0	2	0	0	2	0	0	0	0	0	1	2
d__Viruses|o__Caudovirales|f__Myoviridae|g__Phikzvirus|s__Pseudomonas virus SL2	0	0	0	0	1	0	5	0	0	3	4	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Phikzvirus|s__Pseudomonas virus phiKZ	1	3	0	0	1	0	2	0	0	2	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Plaisancevirus	1	0	0	0	0	0	3	0	0	2	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Plaisancevirus|s__Pseudomonas virus PMW	1	0	0	0	0	0	3	0	0	2	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Polybotosvirus	5	77	5	4	28	7	60	8	18	74	54	52
d__Viruses|o__Caudovirales|f__Myoviridae|g__Polybotosvirus|s__Agrobacterium virus Atuph07	5	77	5	4	28	7	60	8	18	74	54	52
d__Viruses|o__Caudovirales|f__Myoviridae|g__Popoffvirus	0	2	1	0	0	1	1	0	0	3	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Popoffvirus|s__Aeromonas virus 56	0	2	1	0	0	1	1	0	0	3	1	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Radnorvirus	1	0	0	0	0	0	0	0	0	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Radnorvirus|s__Arthrobacter virus ArV1	1	0	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Radnorvirus|s__Arthrobacter virus Colucci	0	0	0	0	0	0	0	0	0	0	1	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ripduovirus	4	0	1	4	3	0	0	0	3	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Ripduovirus|s__Ralstonia virus RP12	4	0	1	4	3	0	0	0	3	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Risingsunvirus	0	3	0	1	0	0	3	0	2	6	5	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Risingsunvirus|s__Erwinia virus Risingsun	0	3	0	1	0	0	3	0	2	6	5	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Schizotequatrovirus	18	20	12	0	11	1	8	7	15	12	17	13
d__Viruses|o__Caudovirales|f__Myoviridae|g__Schizotequatrovirus|s__Vibrio virus KVP40	1	1	4	0	2	0	2	3	2	1	5	3
d__Viruses|o__Caudovirales|f__Myoviridae|g__Schizotequatrovirus|s__Vibrio virus ValKK3	0	8	1	0	0	0	1	0	0	3	2	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Schizotequatrovirus|s__Vibrio virus nt1	0	9	2	0	2	0	5	4	5	8	4	5
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seoulvirus	0	0	1	0	3	0	3	1	0	2	2	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seoulvirus|s__Salmonella virus SPN3US	0	0	1	0	3	0	3	1	0	2	2	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seunavirus	1	5	4	1	2	4	21	1	3	7	37	6
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seunavirus|s__Cronobacter virus GAP31	0	0	1	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seunavirus|s__Escherichia virus 4MG	0	1	0	0	0	1	16	0	1	2	32	1
d__Viruses|o__Caudovirales|f__Myoviridae|g__Seunavirus|s__Salmonella virus PVPSE1	0	2	0	0	0	0	1	0	0	4	1	1
